component,componentCategory,prop,propType,normalizedPropType,propCategory,defaultValue,acceptsObject,objectExample,acceptsNode,enumValues,documentedValues,description,conditionalRelationship,childSupport
Box,Layout,a11yTitle,string,string,accessibility,,false,"""a user friendly label for screen readers""",false,,,"Custom label to be used by screen readers. When provided, an aria-label will be added to the element.",,
Box,Layout,align,string,enum,layout,,false,,false,"""start"" | ""center"" | ""end"" | ""baseline"" | ""stretch","""start"" | ""center"" | ""end"" | ""baseline"" | ""stretch","How to align the contents along the cross axis. Any 'align-items' valid CSS value is accepted, including composed ones such 'first baseline' and 'unsafe start'.",,
Box,Layout,alignContent,string,enum,behavior,,false,,false,"""start"" | ""center"" | ""end"" | ""between"" | ""around"" | ""stretch""","""start"" | ""center"" | ""end"" | ""between"" | ""around"" | ""stretch""","How to align the contents when there is extra space in the cross axis. Any 'align-content' valid CSS value is accepted, including composed ones such 'first baseline' and 'unsafe start'.",,
Box,Layout,alignSelf,string,enum,layout,,false,,false,"""start"" | ""center"" | ""end"" | ""stretch"" | ""baseline""","""start"" | ""center"" | ""end"" | ""stretch"" | ""baseline""",How to align along the cross axis when contained in a Box or along the column axis when contained in a Grid.,,
Box,Layout,animation,string | object | array,union,layout,,true,"{ type: ""..."", delay: 0, duration: 1000, size: ""xsmall"" }",false,"""fadeIn"" | ""fadeOut"" | ""jiggle"" | ""pulse"" | ""rotateLeft"" | ""rotateRight"" | ""slideUp"" | ""slideDown"" | ""slideLeft"" | ""slideRight"" | ""zoomIn"" | ""zoomOut""","""fadeIn"" | ""fadeOut"" | ""jiggle"" | ""pulse"" | ""rotateLeft"" | ""rotateRight"" | ""slideUp"" | ""slideDown"" | ""slideLeft"" | ""slideRight"" | ""zoomIn"" | ""zoomOut""","Animation effect(s) to use. 'duration' and 'delay' should be in milliseconds. 'jiggle' and 'pulse' types are intended for small elements, like icons.",,
Box,Layout,as,string | function | element,union,layout,,false,() => {},true,"""div"" | () => {} | <span />","""div"" | () => {} | <span />",The DOM tag or react component to use for the element.,,
Box,Layout,background,string | object,union,layout,,true,"{ color: ""neutral-1"", dark: true, opacity: true, position: ""bottom"", repeat: ""no-repeat"", size: ""cover"", image: ""url(//my.com/assets/img.png)"", clip: ""text"", rotate: 45 }",false,"""neutral-1"" | ""url(//my.com/assets/img.png)"" | ""weak"" | ""medium"" | ""strong"" | true | any CSS for background-position | ""no-repeat"" | ""repeat"" | ""string"" | ""cover"" | ""contain"" | ""text"" | ""border-box"" | ""padding-box"" | ""content-box""","""neutral-1"" | ""url(//my.com/assets/img.png)"" | ""weak"" | ""medium"" | ""strong"" | true | any CSS for background-position | ""no-repeat"" | ""repeat"" | ""string"" | ""cover"" | ""contain"" | ""text"" | ""border-box"" | ""padding-box"" | ""content-box""","The background of the box. Either a color identifier to use for the background color. For example: 'neutral-1'. Or, a 'url()' for an image. Dark is not needed if color is provided.",,
Box,Layout,basis,string,enum,layout,,false,,false,"""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""xxlarge"" | ""full"" | ""1/2"" | ""1/3"" | ""2/3"" | ""1/4"" | ""2/4"" | ""3/4"" | ""auto""","""xxsmall"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""xxlarge"" | ""full"" | ""1/2"" | ""1/3"" | ""2/3"" | ""1/4"" | ""2/4"" | ""3/4"" | ""auto""",A fixed or relative size along its container's main axis.,,
Box,Layout,border,boolean | string | object | array,union,layout,,true,"{ color: string | { dark: string, light: string }, size: ""medium"", style: ""dashed"", side: ""all"" }",false,"true | false | ""top"" | ""left"" | ""bottom"" | ""right"" | ""start"" | ""end"" | ""horizontal"" | ""vertical"" | ""all"" | ""between"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""any CSS size"" | ""solid"" | ""dashed"" | ""dotted"" | ""double"" | ""groove"" | ""ridge"" | ""inset"" | ""outset"" | ""hidden""","true | false | ""top"" | ""left"" | ""bottom"" | ""right"" | ""start"" | ""end"" | ""horizontal"" | ""vertical"" | ""all"" | ""between"" | ""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""any CSS size"" | ""solid"" | ""dashed"" | ""dotted"" | ""double"" | ""groove"" | ""ridge"" | ""inset"" | ""outset"" | ""hidden""",A border around the Box.,,
Box,Layout,cssGap,boolean,boolean,behavior,,false,,false,true | false,true | false,Lets users opt into using the css gap property for Box gap instead of inserting an extra node into the dom to simulate a gap.,,
