component,componentCategory,prop,propType,normalizedPropType,propCategory,defaultValue,acceptsObject,objectExample,acceptsNode,enumValues,documentedValues,description,conditionalRelationship,childSupport
Avatar,Visualizations,a11yTitle,string,string,accessibility,,false,"""a user friendly label for screen readers""",false,,,"Custom label to be used by screen readers. When provided, an aria-label will be added to the element.",,
Avatar,Visualizations,imageProps,object,object,behavior,,true,"{ alt: ""User Avatar"", fit: ""cover"" }",false,,,Additional properties to pass to the internal Image component when rendering an avatar.,,
Avatar,Visualizations,size,string,string,layout,,false,,false,"""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""2xl"" | ""3xl"" | ""4xl"" | ""5xl"" | ""string""","""xsmall"" | ""small"" | ""medium"" | ""large"" | ""xlarge"" | ""2xl"" | ""3xl"" | ""4xl"" | ""5xl"" | ""string""",A fixed size.,,
Avatar,Visualizations,src,string,enum,content,,false,,false,"""//s.gravatar.com/avatar/""","""//s.gravatar.com/avatar/""",A URL for an avatar image.,,
Calendar,Visualizations,a11yTitle,string,string,accessibility,,false,"""a user friendly label for screen readers""",false,,,"Custom label to be used by screen readers. When provided, an aria-label will be added to the element.",,
Calendar,Visualizations,activeDate,string,enum,behavior,,false,,false,"""start"" | ""end""","""start"" | ""end""","When using range, Whether the next date selection will affect the start or end bound of the range.",,
Calendar,Visualizations,alignSelf,string,enum,layout,,false,,false,"""start"" | ""center"" | ""end"" | ""stretch"" | ""baseline""","""start"" | ""center"" | ""end"" | ""stretch"" | ""baseline""",How to align along the cross axis when contained in a Box or along the column axis when contained in a Grid.,,
Calendar,Visualizations,animate,boolean,boolean,behavior,,false,,false,true | false,true | false,Whether to animate the calender as the user interacts with it.,,
Calendar,Visualizations,bounds,array,array,behavior,,false,,false,,,An array of two numbers indicating the limits on navigation in ISO8601 format.,,
Calendar,Visualizations,children,function,function,content,,false,"({ date, day, isInRange, isSelected }) => {}",true,,,Function that will be called to render each day.,,children render prop for custom day cell rendering
Calendar,Visualizations,date,string | array,union,behavior,,false,,false,"""2018-10-16T12:22:00Z""","""2018-10-16T12:22:00Z""",The selected date or array of dates in ISO8601 format.,,
Calendar,Visualizations,dates,"array[""string""] | array[array[""string""]]",array,behavior,,false,,false,,,Multiple selected dates in ISO8601 format.,,
Calendar,Visualizations,daysOfWeek,boolean,boolean,behavior,,false,,false,true | false,true | false,Whether to show the days of the week.,,
Calendar,Visualizations,disabled,"array[""string""] | array[array[""string""]]",array,state,,false,,false,,,Multiple dates in ISO8601 format that should not be selectable.,,
Calendar,Visualizations,fill,boolean,boolean,state,,false,,false,true | false,true | false,Whether the calendar should fill the parent container.,,
Calendar,Visualizations,firstDayOfWeek,number,number,behavior,,false,,false,0 | 1,0 | 1,The first day of the week.,,
Calendar,Visualizations,gridArea,string,string,layout,,false,,false,"""a parent grid area name""","""a parent grid area name""",The name of the area to place this inside a parent Grid.,,
Calendar,Visualizations,header,function,function,content,,false,"({ date: Date, locale: ""en-US"", onPreviousMonth: func, onNextMonth: func, previousInBound: bool, nextInBound: bool, }) => {}",true,,,"If specified, the entire calendar header will be managed by the caller.",,
Calendar,Visualizations,level,string | number,union,layout,,false,,false,"""1"" | ""2"" | ""3"" | ""4"" | ""5"" | ""6"" | 1 | 2 | 3 | 4 | 5 | 6","""1"" | ""2"" | ""3"" | ""4"" | ""5"" | ""6"" | 1 | 2 | 3 | 4 | 5 | 6",The heading level in Calendar. It corresponds to the number after the 'H' for the DOM tag. Set the level for semantic accuracy and accessibility.,,
Calendar,Visualizations,locale,string,enum,behavior,,false,,false,"""en-US""","""en-US""",The locale to use.,,
